matchup,game_id,red_agent,yellow_agent,winner_value,winner_name,illegal_by,red_time,yellow_time,turns
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,8,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.6663978099822998,6.580013275146484,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,9,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.6802175045013428,6.391512870788574,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,10,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.6209254264831543,6.236927032470703,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,11,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.6237380504608154,6.257990598678589,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,12,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.6743993759155273,6.312184572219849,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,13,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.632220983505249,6.5243799686431885,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,14,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.6543340682983398,6.406005144119263,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,15,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.5931053161621094,6.344524621963501,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,16,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.591843843460083,6.275092363357544,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,17,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.6282365322113037,6.312511444091797,35
